Title,Main Price,Current Price,Store
"Turbo-X LED TV TXV-E3250D 32"" HD Ready",139.0,99.0,PLAISIO
"LG LED TV 55UM7100 55"" 4Κ Ultra HD",599.0,399.0,PLAISIO
"Turbo-X LED TV TXV-S3250SMT 32"" HD Ready",169.0,139.0,PLAISIO
"Turbo-X Android tv TXV-AU5080SMT 50"" 4Κ Ultra HD",299.0,299.0,PLAISIO
"Turbo-X LED TV TXV-E4355 43"" Full HD",199.0,169.0,PLAISIO
"Turbo-X LED TV TXV-S4350SMT 43"" Full HD",259.0,219.0,PLAISIO
"LG LED TV 43UM7100 43"" 4Κ Ultra HD",499.0,299.0,PLAISIO
"Turbo-X Android tv TXV-AU4380SMT 43"" 4Κ Ultra HD",269.0,269.0,PLAISIO
"Turbo-X Android tv TXV-AU5580SMT 55"" 4Κ Ultra HD",369.0,369.0,PLAISIO
"Turbo-X LED TV TXV-S3950SMT 39"" HD Ready",229.0,179.0,PLAISIO
"LG NanoCell TV 49SM8200 49"" 4Κ Ultra HD",599.0,549.0,PLAISIO
"Samsung LED TV UE43RU7092 43"" 4Κ Ultra HD",529.0,329.0,PLAISIO
"LG LED TV 43UM7450 43"" 4Κ Ultra HD",699.0,429.0,PLAISIO
"Turbo-X LED TV TXV-E2464 24"" HD Ready",897.0,79.0,PLAISIO
"Samsung QLED 4K TV QE55Q60R 55"" 4Κ Ultra HD",999.0,669.0,PLAISIO
"Samsung QLED 4K TV QE65Q60R 65"" 4Κ Ultra HD",149.0,899.0,PLAISIO
"LG LED TV 55UM7450 55"" 4Κ Ultra HD",899.0,439.0,PLAISIO
"Samsung LED TV UE50RU7402 50"" 4Κ Ultra HD",929.0,449.0,PLAISIO
"Samsung QLED 4K TV QE49Q60R 49"" 4Κ Ultra HD",129.0,549.0,PLAISIO
"Samsung LED TV UE55RU7092 55"" 4Κ Ultra HD",599.0,399.0,PLAISIO
"LG OLED TV OLED65C9 65"" 4Κ Ultra HD",3899.0,2399.0,PLAISIO
"Samsung QLED 8K TV QE82Q950R 82"" 8K Ultra HD",9999.0,6999.0,PLAISIO
"Samsung QLED 4K TV QE75Q90R 75"" 4Κ Ultra HD",5699.0,3499.0,PLAISIO
"Samsung LED TV UE50RU7092 50"" 4Κ Ultra HD",529.0,369.0,PLAISIO
"Turbo-X Android tv TXV-AU6580SMT 65"" 4Κ Ultra HD",499.0,499.0,PLAISIO
